,First,Last,Nickname,Ht.,Wt.,Reach,Ht. (m),Wt. (kg),Reach. (cm),Stance,DOB,SLpM,Str.Acc.,SApM,Str.Def,TDAvg.,TDAcc.,TDDef.,Sub.Avg.,W,L,D
0,Tom,Aaron,,--,155 lbs.,--,,70.45,,,"Jul13,1978",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5,3,0
1,Danny,Abbadi,The Assassin,"5' 11""",155 lbs.,--,1.8,70.45,,Orthodox,"Jul03,1983",3.29,38.0,4.41,57.0,0.0,0.0,77.0,0.0,4,6,0
2,Nariman,Abbasov,Bayraktar,"5' 8""",155 lbs.,"66.0""",1.73,70.45,167.64,Orthodox,"Feb01,1994",3.0,20.0,5.67,46.0,0.0,0.0,66.0,0.0,28,4,0
3,David,Abbott,Tank,"6' 0""",265 lbs.,--,1.83,120.45,,Switch,--,1.35,30.0,3.55,38.0,1.07,33.0,66.0,0.0,10,15,0
4,Hamdy,Abdelwahab,The Hammer,"6' 2""",264 lbs.,"72.0""",1.88,120.0,182.88,Southpaw,"Jan22,1993",3.87,52.0,3.13,59.0,3.0,75.0,0.0,0.0,5,0,0
5,Shamil,Abdurakhimov,Abrek,"6' 3""",235 lbs.,"76.0""",1.91,106.82,193.04,Orthodox,"Sep02,1981",2.41,44.0,3.02,55.0,1.01,23.0,45.0,0.1,20,8,0
6,Hiroyuki,Abe,Abe Ani,"5' 6""",145 lbs.,--,1.68,65.91,,Orthodox,--,1.71,36.0,3.11,63.0,0.0,0.0,33.0,0.0,8,15,3
7,Daichi,Abe,,"5' 11""",170 lbs.,"71.0""",1.8,77.27,180.34,Orthodox,"Nov27,1991",3.8,33.0,4.49,56.0,0.33,50.0,0.0,0.0,6,2,0
8,Papy,Abedi,Makambo,"5' 11""",185 lbs.,--,1.8,84.09,,Southpaw,"Jun30,1978",2.8,55.0,3.15,48.0,3.47,57.0,50.0,1.3,10,4,0
9,Ricardo,Abreu,Demente,"5' 11""",185 lbs.,--,1.8,84.09,,Orthodox,"Apr27,1984",3.79,31.0,3.98,68.0,2.13,42.0,100.0,0.7,5,1,0
10,Klidson,Abreu,White Bear,"6' 0""",205 lbs.,"74.0""",1.83,93.18,187.96,Orthodox,"Dec24,1992",2.05,40.0,2.9,55.0,0.64,20.0,80.0,0.0,15,4,0
11,Cyborg,Abreu,,--,--,--,,,,,"Dec20,1980",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0
12,Daniel,Acacio,,"5' 8""",180 lbs.,--,1.73,81.82,,Orthodox,"Dec27,1977",3.52,36.0,2.85,62.0,0.33,20.0,81.0,0.0,30,18,0
13,John,Adajar,The Outlaw,"5' 9""",170 lbs.,"75.0""",1.75,77.27,190.5,Orthodox,"Jun22,1991",3.9,52.0,6.28,44.0,0.0,0.0,0.0,0.0,6,2,0
14,Scott,Adams,,"6' 0""",225 lbs.,--,1.83,102.27,,Southpaw,--,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8,1,0
15,Juan,Adams,The Kraken,"6' 5""",265 lbs.,"80.0""",1.96,120.45,203.2,Orthodox,"Jan16,1992",7.09,55.0,4.06,34.0,0.91,66.0,57.0,0.0,5,3,0
16,Anthony,Adams,Sugafoot,"6' 1""",185 lbs.,"76.0""",1.85,84.09,193.04,Orthodox,"Jan13,1988",3.17,41.0,5.93,44.0,0.0,0.0,0.0,0.0,8,2,0
17,Zarrukh,Adashev,The Lion,"5' 5""",125 lbs.,"65.0""",1.65,56.82,165.1,Southpaw,"Jul29,1992",3.65,40.0,3.04,64.0,0.0,0.0,100.0,0.5,4,4,0
18,Israel,Adesanya,The Last Stylebender,"6' 4""",185 lbs.,"80.0""",1.93,84.09,203.2,Switch,"Jul22,1989",3.93,48.0,3.11,56.0,0.05,14.0,77.0,0.1,24,3,0
19,Sam,Adkins,The Experience,"6' 3""",225 lbs.,--,1.91,102.27,,Orthodox,"Apr26,1965",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7,20,2
20,Nick,Agallar,,"5' 8""",155 lbs.,--,1.73,70.45,,Orthodox,"Jan13,1979",0.69,11.0,4.56,42.0,0.0,0.0,0.0,0.0,24,6,0
21,Mariya,Agapova,Demonslayer,"5' 6""",125 lbs.,"68.0""",1.68,56.82,172.72,Southpaw,"Apr07,1997",4.67,55.0,3.82,52.0,0.59,66.0,47.0,0.9,10,4,0
22,Marcelo,Aguiar,,"5' 10""",170 lbs.,--,1.78,77.27,,Orthodox,--,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,3,1
23,Fabio,Aguiar,,"6' 0""",185 lbs.,--,1.83,84.09,,,"Feb10,1988",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17,1,0
24,Edwin,Aguilar,Tigre,"5' 10""",185 lbs.,--,1.78,84.09,,,--,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,26,19,0
25,Jessica,Aguilar,Jag,"5' 3""",115 lbs.,"63.0""",1.6,52.27,160.02,Orthodox,"May08,1982",4.93,50.0,7.19,53.0,0.94,25.0,50.0,0.2,20,8,0
26,Kevin,Aguilar,Angel of Death,"5' 7""",155 lbs.,"73.0""",1.7,70.45,185.42,Orthodox,"Sep07,1988",3.96,40.0,4.81,52.0,0.16,16.0,78.0,0.0,17,5,0
27,Jesus,Aguilar,,"5' 4""",125 lbs.,"62.0""",1.63,56.82,157.48,Orthodox,"Mar13,1996",1.49,50.0,1.11,59.0,1.9,33.0,40.0,1.4,10,2,0
28,Christian,Aguilera,The Beast,"5' 9""",170 lbs.,"72.0""",1.75,77.27,182.88,Switch,"Nov25,1991",2.54,37.0,4.04,48.0,0.0,0.0,60.0,0.0,14,8,0
29,Nick,Aguirre,Slick,"5' 9""",135 lbs.,"74.0""",1.75,61.36,187.96,Southpaw,"Jan15,1996",0.73,33.0,2.89,45.0,1.16,20.0,33.0,0.6,7,2,0
30,Mike,Aina,Iron,"5' 9""",155 lbs.,--,1.75,70.45,,Orthodox,--,2.87,33.0,6.33,59.0,0.0,0.0,71.0,0.0,14,6,1
31,Ashiek,Ajim,Peak Physique,"5' 8""",135 lbs.,"71.0""",1.73,61.36,180.34,Switch,"Jun19,1994",5.0,40.0,11.25,25.0,0.0,0.0,0.0,0.0,6,2,0
32,Hitomi,Akano,Girlfight Monster,"5' 4""",135 lbs.,--,1.63,61.36,,Southpaw,"Jul27,1974",0.59,45.0,2.58,55.0,0.0,0.0,8.0,0.5,18,10,0
33,Omari,Akhmedov,Wolverine,"6' 0""",185 lbs.,"73.0""",1.83,84.09,185.42,Orthodox,"Oct12,1987",2.97,34.0,2.84,55.0,2.58,45.0,65.0,0.2,21,6,1
34,Yoshihiro,Akiyama,,"5' 10""",170 lbs.,"75.0""",1.78,77.27,190.5,Orthodox,"Jul29,1975",3.1,41.0,3.62,57.0,2.29,67.0,92.0,1.0,14,6,0
35,Rostem,Akman,,"5' 10""",170 lbs.,"72.0""",1.78,77.27,182.88,Switch,"Dec19,1991",1.8,25.0,3.97,57.0,1.0,40.0,87.0,0.0,6,2,0
36,Razak,Al-Hassan,,"6' 2""",205 lbs.,--,1.88,93.18,,Orthodox,"May14,1982",3.27,39.0,3.14,60.0,0.65,14.0,57.0,0.0,13,5,0
37,Abdul-Kareem,Al-Selwady,Pride of Palestine,"5' 8""",155 lbs.,"69.0""",1.73,70.45,175.26,Orthodox,"Apr10,1995",4.14,34.0,3.6,59.0,2.32,30.0,20.0,0.0,15,4,0
38,Mostapha,Al-Turk,,"6' 2""",245 lbs.,"77.0""",1.88,111.36,195.58,Orthodox,"Jul14,1973",1.36,19.0,3.61,53.0,0.0,0.0,0.0,0.0,6,6,0
39,Herdem,Alacabek,,"6' 2""",205 lbs.,"75.0""",1.88,93.18,190.5,Orthodox,"Jun07,1991",3.84,65.0,6.66,23.0,2.06,50.0,42.0,0.0,5,1,0
40,Javi,Alanis,,"5' 6""",135 lbs.,--,1.68,61.36,,,--,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,4,0
41,,Alatengheili,The Mongolian Knight,"5' 5""",135 lbs.,"66.0""",1.65,61.36,167.64,Orthodox,"Dec14,1991",2.88,33.0,5.03,58.0,1.82,40.0,72.0,0.0,16,9,2
42,Amir,Albazi,The Prince,"5' 5""",125 lbs.,"68.0""",1.65,56.82,172.72,Orthodox,"Oct27,1993",2.8,39.0,3.07,63.0,1.71,33.0,40.0,0.7,17,1,0
43,Brett,Albee,,--,225 lbs.,--,,102.27,,,--,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3,2,0
44,John,Albert,Prince,"5' 8""",135 lbs.,"68.0""",1.73,61.36,172.72,Orthodox,"Oct13,1986",3.05,49.0,2.82,35.0,0.0,0.0,50.0,6.1,6,5,0
45,Junior,Albini,Baby,"6' 3""",264 lbs.,"74.0""",1.91,120.0,187.96,Orthodox,"Mar15,1991",3.98,51.0,6.08,52.0,1.54,37.0,100.0,0.0,14,6,0
46,Wes,Albritton,,"5' 10""",188 lbs.,--,1.78,85.45,,Orthodox,--,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,1,0
47,Aleksandra,Albu,Stitch,"5' 2""",115 lbs.,"63.0""",1.57,52.27,160.02,Orthodox,"Jul14,1990",4.83,47.0,5.56,38.0,2.27,50.0,77.0,0.4,3,2,0
48,Israel,Albuquerque,,--,185 lbs.,--,,84.09,,Orthodox,--,0.32,13.0,3.34,25.0,0.0,0.0,0.0,0.0,0,3,0
49,Juan,Alcain,,--,--,--,,,,,--,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,2,0
50,Iuri,Alcantara,Marajo,"5' 9""",135 lbs.,"71.0""",1.75,61.36,180.34,Southpaw,"Aug04,1980",2.72,45.0,2.79,49.0,1.44,62.0,60.0,0.8,35,10,0
51,Ildemar,Alcantara,Marajo,"6' 2""",185 lbs.,"78.0""",1.88,84.09,198.12,Orthodox,"Nov18,1982",1.93,38.0,2.63,50.0,2.0,68.0,81.0,0.9,21,11,0
52,Alfonso,Alcarez,,"5' 3""",145 lbs.,--,1.6,65.91,,,"Jun10,1970",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,3,1
53,Gilbert,Aldana,El Peligro,"6' 1""",250 lbs.,--,1.85,113.64,,Orthodox,"Aug25,1977",2.91,54.0,6.26,26.0,2.57,40.0,33.0,0.0,6,2,0
54,Irene,Aldana,,"5' 9""",135 lbs.,"68.0""",1.75,61.36,172.72,Orthodox,"Mar26,1988",5.24,40.0,6.33,57.0,0.16,50.0,76.0,0.2,15,7,0
55,Hector,Aldana,,"5' 11""",170 lbs.,"72.0""",1.8,77.27,182.88,Orthodox,"Aug17,1988",3.59,38.0,5.08,59.0,0.93,100.0,0.0,0.0,4,3,0
56,Jose,Alday,Pochito,"5' 7""",135 lbs.,"68.0""",1.7,61.36,172.72,Orthodox,"Sep14,1991",3.13,44.0,3.13,58.0,0.0,0.0,57.0,0.0,14,6,1
57,Jose,Aldo,,"5' 7""",135 lbs.,"70.0""",1.7,61.36,177.8,Orthodox,"Sep09,1986",3.57,46.0,3.74,60.0,0.49,54.0,91.0,0.1,31,8,0
58,JJ,Aldrich,,"5' 5""",125 lbs.,"67.0""",1.65,56.82,170.18,Southpaw,"Sep29,1992",4.05,46.0,4.53,60.0,0.71,25.0,66.0,0.0,13,6,0
59,Irina,Alekseeva,Russian Ronda,"5' 8""",135 lbs.,"67.0""",1.73,61.36,170.18,Orthodox,"Jun27,1990",3.84,43.0,3.55,48.0,0.87,20.0,100.0,0.9,5,2,0
60,Talita,Alencar,Problem Child,"5' 1""",115 lbs.,"58.0""",1.55,52.27,147.32,Orthodox,"Oct17,1990",2.37,28.0,4.8,48.0,2.5,15.0,50.0,0.0,5,0,1
61,Jim,Alers,The Beast,"5' 9""",145 lbs.,"71.0""",1.75,65.91,180.34,Orthodox,"Oct14,1986",2.9,40.0,4.38,56.0,2.26,41.0,80.0,0.3,13,3,0
62,John,Alessio,The Natural,"5' 10""",155 lbs.,"72.0""",1.78,70.45,182.88,Orthodox,"Jul05,1979",2.1,39.0,2.91,54.0,1.85,38.0,70.0,1.2,35,17,0
63,Houston,Alexander,The Assassin,"6' 0""",205 lbs.,"72.0""",1.83,93.18,182.88,Orthodox,"Mar22,1972",3.06,54.0,3.2,52.0,1.19,57.0,33.0,0.0,17,15,1
64,Kenneth,Alexander,The Machine,"5' 9""",155 lbs.,--,1.75,70.45,,Orthodox,"Sep25,1977",0.88,19.0,2.2,66.0,4.71,26.0,0.0,0.0,7,6,0
65,Lucas,Alexander,The Lion,"5' 11""",145 lbs.,"73.0""",1.8,65.91,185.42,Orthodox,"Jul28,1995",5.23,55.0,1.83,71.0,0.0,0.0,57.0,0.0,8,4,0
66,Marcio,Alexandre Junior,Lyoto,"6' 0""",185 lbs.,"75.0""",1.83,84.09,190.5,Southpaw,"May05,1989",1.61,45.0,2.89,42.0,0.35,20.0,66.0,0.7,17,4,0
67,Olaf,Alfonso,,"6' 2""",170 lbs.,--,1.88,77.27,,Orthodox,"Aug06,1974",1.65,38.0,4.77,53.0,0.37,7.0,22.0,0.7,8,12,0
68,Pablo,Alfonso,The Hurricane,"5' 8""",145 lbs.,--,1.73,65.91,,,"May09,1983",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9,7,0
69,Levi,Alford,,--,--,--,,,,,--,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,7,0
70,Bill,Algeo,Senor Perfecto,"6' 0""",145 lbs.,"73.0""",1.83,65.91,185.42,Switch,"Jun09,1989",6.16,52.0,4.52,47.0,0.86,46.0,56.0,0.1,18,8,0
71,Royce,Alger,,"5' 10""",199 lbs.,--,1.78,90.45,,Orthodox,--,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3,2,0
72,Amir,Aliakbari,,"6' 3""",250 lbs.,--,1.91,113.64,,,"Jun10,1984",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10,1,0
73,Sultan,Aliev,,"5' 11""",170 lbs.,"74.0""",1.8,77.27,187.96,Orthodox,"Sep17,1984",1.41,45.0,2.2,56.0,1.76,38.0,100.0,0.0,15,3,0
74,Nurullo,Aliev,Tajik Eagle,"5' 10""",155 lbs.,"72.0""",1.78,70.45,182.88,Orthodox,"Dec08,2000",2.5,51.0,0.46,59.0,3.06,44.0,0.0,0.0,9,0,0
75,Ikram,Aliskerov,,"6' 0""",185 lbs.,"76.0""",1.83,84.09,193.04,Southpaw,"Dec07,1992",8.24,65.0,7.15,36.0,2.33,33.0,0.0,2.3,15,1,0
76,Leon,Aliu,The Albanian Lion,"6' 0""",185 lbs.,"74.0""",1.83,84.09,187.96,Orthodox,"Jul14,1989",6.32,50.0,10.11,38.0,0.0,0.0,0.0,0.0,10,2,0
77,John,Allan,,"6' 1""",205 lbs.,"75.0""",1.85,93.18,190.5,Orthodox,"Feb22,1993",3.56,42.0,5.74,52.0,1.4,71.0,50.0,0.8,13,7,0
78,George,Allen,,"6' 2""",205 lbs.,--,1.88,93.18,,Open Stance,"Jan13,1967",0.8,38.0,3.1,43.0,0.0,0.0,50.0,0.0,13,19,2
79,Arnold,Allen,Almighty,"5' 8""",145 lbs.,"70.0""",1.73,65.91,177.8,Southpaw,"Jan22,1994",3.39,40.0,2.91,61.0,1.02,50.0,75.0,0.4,19,3,0
80,Brendan,Allen,All In,"6' 2""",185 lbs.,"75.0""",1.88,84.09,190.5,Orthodox,"Dec28,1995",3.87,54.0,3.6,46.0,1.36,47.0,58.0,1.7,23,5,0
81,Daniel,Allen,,"6' 0""",155 lbs.,"75.0""",1.83,70.45,190.5,Southpaw,"Aug10,1992",7.6,51.0,5.87,53.0,2.0,66.0,100.0,0.0,5,0,0
82,Ben,Alloway,Blanco,"5' 11""",170 lbs.,"76.0""",1.8,77.27,193.04,Orthodox,"Feb19,1981",1.28,49.0,1.9,59.0,0.62,50.0,26.0,0.0,18,8,0
83,Asu,Almabayev,Zulfikar,"5' 4""",125 lbs.,"65.0""",1.63,56.82,165.1,Orthodox,"Jan25,1994",3.02,59.0,1.42,53.0,7.12,57.0,0.0,1.3,19,2,0
84,Bekzat,Almakhan,The Turan Warrior,"5' 7""",135 lbs.,"68.0""",1.7,61.36,172.72,Orthodox,"Oct08,1997",0.2,18.0,4.53,30.0,0.0,0.0,0.0,0.0,11,2,0
85,John,Almanza,The Young Striker,--,125 lbs.,--,,56.82,,,--,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6,0,0
86,Ricardo,Almeida,Big Dog,"6' 0""",170 lbs.,"74.0""",1.83,77.27,187.96,Orthodox,"Nov29,1976",2.02,49.0,1.2,61.0,3.74,38.0,31.0,1.2,13,5,0
87,Magno,Almeida,,"6' 0""",155 lbs.,--,1.83,70.45,,,"Jun06,1985",1.67,36.0,2.6,41.0,0.0,0.0,40.0,5.0,10,3,0
88,Thomas,Almeida,Thominhas,"5' 7""",145 lbs.,"70.0""",1.7,65.91,177.8,Southpaw,"Jul31,1991",4.84,43.0,4.93,61.0,0.17,14.0,75.0,0.0,22,5,0
89,Ericka,Almeida,,"5' 6""",115 lbs.,--,1.68,52.27,,Orthodox,"Mar05,1989",1.07,39.0,3.33,43.0,0.5,33.0,37.0,0.0,7,3,0
90,Estefani,Almeida,,"5' 4""",125 lbs.,--,1.63,56.82,,Orthodox,"Oct17,1988",3.13,37.0,6.07,42.0,0.0,0.0,0.0,0.0,7,3,0
91,Jailton,Almeida,Malhadinho,"6' 3""",205 lbs.,"79.0""",1.91,93.18,200.66,Orthodox,"Jun26,1991",2.54,64.0,0.74,40.0,6.88,59.0,75.0,2.2,20,3,0
92,Lucas,Almeida,,"5' 11""",145 lbs.,"71.0""",1.8,65.91,180.34,Orthodox,"Jan31,1991",5.05,47.0,5.32,45.0,0.0,0.0,40.0,0.0,14,3,0
93,Cesar,Almeida,Cesinha,"6' 1""",185 lbs.,"74.0""",1.85,84.09,187.96,Orthodox,"Mar28,1988",4.73,61.0,1.87,48.0,0.0,0.0,70.0,0.0,4,0,0
94,Mauricio,Alonso,,"6' 2""",170 lbs.,--,1.88,77.27,,,"Feb27,1980",5.74,34.0,1.91,67.0,0.0,0.0,0.0,0.0,13,7,0
95,Sarah,Alpar,Too Sweet,"5' 4""",135 lbs.,"63.0""",1.63,61.36,160.02,Southpaw,"Jun01,1991",2.36,44.0,6.06,38.0,1.61,26.0,20.0,0.4,9,6,0
96,Ali,AlQaisi,The Royal Fighter,"5' 6""",135 lbs.,"68.0""",1.68,61.36,172.72,Orthodox,"Sep23,1990",2.43,42.0,1.97,56.0,3.5,29.0,60.0,1.0,8,5,0
97,Rico,Altamirano,,"5' 10""",170 lbs.,--,1.78,77.27,,,--,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4,3,0
98,Victor,Altamirano,El Magnifico,"5' 8""",125 lbs.,"70.0""",1.73,56.82,177.8,Switch,"Jan23,1991",4.55,57.0,3.7,54.0,3.43,39.0,63.0,0.0,12,4,0
99,Mike,Altman,,"5' 10""",185 lbs.,--,1.78,84.09,,Orthodox,--,1.56,20.0,2.08,75.0,0.0,0.0,0.0,0.0,1,4,0
100,Patricia,Alujas,The Angel,"5' 4""",115 lbs.,"64.0""",1.63,52.27,162.56,Orthodox,"May08,1996",5.83,31.0,9.25,44.0,0.0,0.0,0.0,0.0,9,3,0
101,Sean,Alvarez,,"6' 0""",235 lbs.,--,1.83,106.82,,Orthodox,"Jul14,1971",0.89,37.0,3.25,47.0,0.0,0.0,0.0,0.0,4,3,0
102,Eddie,Alvarez,,"5' 9""",155 lbs.,"69.0""",1.75,70.45,175.26,Orthodox,"Jan11,1984",4.32,41.0,4.39,55.0,2.92,36.0,92.0,0.5,29,6,0
103,Jaime,Alvarez,,"5' 8""",125 lbs.,"69.0""",1.73,56.82,175.26,Orthodox,"Mar08,1988",2.73,40.0,4.53,56.0,1.0,33.0,50.0,0.0,6,1,0
104,Joel,Alvarez,El Fenomeno,"6' 3""",155 lbs.,"77.0""",1.91,70.45,195.58,Orthodox,"Mar02,1993",3.65,46.0,3.37,50.0,0.0,0.0,11.0,1.3,20,3,0
105,Thiago,Alves,Pitbull,"5' 9""",170 lbs.,"70.0""",1.75,77.27,177.8,Orthodox,"Oct03,1983",3.73,41.0,3.42,62.0,0.71,60.0,63.0,0.3,23,15,0
106,Anthony,Alves,,--,--,--,,,,,--,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,4,0
107,Amilcar,Alves,,"6' 0""",170 lbs.,--,1.83,77.27,,Southpaw,"Aug08,1988",0.5,46.0,2.02,30.0,0.0,0.0,53.0,0.0,15,12,0
108,Warlley,Alves,,"5' 11""",185 lbs.,"72.0""",1.8,84.09,182.88,Orthodox,"Jan04,1991",3.25,48.0,4.21,50.0,1.35,50.0,80.0,0.9,15,7,0
109,Rafael,Alves,The Turn,"5' 8""",155 lbs.,"68.0""",1.73,70.45,172.72,Orthodox,"Nov14,1990",1.85,48.0,3.3,58.0,0.29,25.0,44.0,1.5,20,12,0
110,Sam,Alvey,Smile'N,"6' 2""",185 lbs.,"75.0""",1.88,84.09,190.5,Southpaw,"May06,1986",3.28,44.0,3.63,52.0,0.06,14.0,82.0,0.1,33,18,1
111,Andre,Amado,Dida,"6' 0""",154 lbs.,--,1.83,70.0,,Orthodox,--,2.27,24.0,5.91,63.0,0.0,0.0,20.0,0.0,6,4,1
112,Adlan,Amagov,Borz,"6' 2""",170 lbs.,"76.0""",1.88,77.27,193.04,Orthodox,"Oct30,1986",3.29,47.0,0.82,78.0,5.84,56.0,100.0,0.0,14,2,1
113,Maiara,Amanajas dos Santos,,"5' 5""",115 lbs.,--,1.65,52.27,,Southpaw,"Jul11,1987",5.53,35.0,24.47,33.0,0.0,0.0,100.0,0.0,7,3,0
114,Rayanne,Amanda,,"5' 2""",115 lbs.,"62.0""",1.57,52.27,157.48,Orthodox,"Jun08,1995",3.73,36.0,4.63,65.0,0.5,20.0,88.0,0.0,14,7,0
115,Chris,Amarante,,--,185 lbs.,--,,84.09,,,--,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,0,0
116,Jimmy,Ambriz,The Titan,"6' 2""",315 lbs.,--,1.88,143.18,,Southpaw,"Jan26,1970",0.83,29.0,3.76,40.0,3.13,57.0,100.0,0.8,17,21,1
117,JJ,Ambrose,,"5' 10""",170 lbs.,--,1.78,77.27,,Orthodox,--,3.16,69.0,6.32,33.0,0.0,0.0,50.0,0.0,28,7,0
118,Alen,Amedovski,,"5' 10""",185 lbs.,"74.0""",1.78,84.09,187.96,Orthodox,"Apr06,1988",0.99,30.0,3.85,46.0,0.0,0.0,0.0,0.0,8,4,0
119,Hyder,Amil,The Hurricane,"5' 9""",145 lbs.,"70.0""",1.75,65.91,177.8,Switch,"May28,1990",4.73,54.0,2.16,61.0,0.68,33.0,78.0,2.0,9,0,0
120,Makwan,Amirkhani,Mr. Finland,"5' 10""",145 lbs.,"72.0""",1.78,65.91,182.88,Southpaw,"Nov08,1988",1.33,44.0,2.98,46.0,3.96,43.0,35.0,1.1,17,9,0
121,Jaqueline,Amorim,,"5' 3""",115 lbs.,"68.0""",1.6,52.27,172.72,Orthodox,"Jun24,1995",3.33,52.0,1.85,62.0,1.48,23.0,0.0,5.4,8,1,0
122,Bertrand,Amoussou,,"5' 8""",190 lbs.,--,1.73,86.36,,Orthodox,--,6.75,39.0,2.01,83.0,0.0,0.0,0.0,0.0,1,1,0
123,Karl,Amoussou,The Psycho,"5' 11""",185 lbs.,--,1.8,84.09,,Orthodox,"Nov21,1985",1.47,34.0,2.67,54.0,0.0,0.0,25.0,1.0,27,7,2
124,Eryk,Anders,Ya Boi,"6' 1""",185 lbs.,"75.0""",1.85,84.09,190.5,Southpaw,"Apr21,1987",3.41,47.0,4.17,50.0,1.79,26.0,79.0,0.1,16,8,0
125,Matt,Andersen,,"6' 2""",230 lbs.,--,1.88,104.55,,Southpaw,"May29,1971",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14,8,1
126,Andy,Anderson,The Hammer,"5' 6""",240 lbs.,--,1.68,109.09,,,"Jul16,1974",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,1,0
127,Lowell,Anderson,,"5' 6""",160 lbs.,--,1.68,72.73,,Orthodox,--,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,1,0
128,Corey,Anderson,Overtime,"6' 3""",205 lbs.,"79.0""",1.91,93.18,200.66,Orthodox,"Sep22,1989",4.43,46.0,2.22,59.0,4.89,50.0,83.0,0.0,14,5,0
129,Derek,Anderson,Barbaric,"6' 0""",155 lbs.,--,1.83,70.45,,,"Feb02,1990",3.97,37.0,3.08,61.0,0.34,14.0,60.0,0.0,14,3,0
130,Megan,Anderson,,"6' 0""",145 lbs.,"72.0""",1.83,65.91,182.88,Orthodox,"Feb11,1990",1.76,46.0,3.35,37.0,0.52,25.0,53.0,0.5,11,5,0
131,Tatsuya,Ando,,--,135 lbs.,--,,61.36,,,"Apr26,1990",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13,3,1
132,Alex,Andrade,El Toro,"5' 11""",200 lbs.,--,1.8,90.91,,Orthodox,"May14,1974",0.2,36.0,2.6,53.0,0.0,0.0,25.0,0.8,10,5,0
133,Jessica,Andrade,Bate Estaca,"5' 1""",115 lbs.,"62.0""",1.55,52.27,157.48,Orthodox,"Sep25,1991",6.67,50.0,5.36,54.0,2.45,54.0,72.0,0.4,25,12,0
134,Viscardi,Andrade,,"5' 11""",170 lbs.,"75.0""",1.8,77.27,190.5,Orthodox,"Mar08,1984",3.26,42.0,2.77,63.0,1.93,50.0,66.0,0.3,19,6,0
135,Jermaine,Andre,,"5' 7""",200 lbs.,--,1.7,90.91,,Orthodox,--,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14,4,0
136,Juan,Andres Luna,,"5' 7""",125 lbs.,"72.0""",1.7,56.82,182.88,Orthodox,"Aug20,1995",3.27,31.0,3.0,65.0,0.0,0.0,0.0,0.0,12,1,0
137,Fellipe,Andrew,,--,--,--,,,,,"Oct24,1994",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0
138,Dylan,Andrews,The Villain,"6' 1""",185 lbs.,"74.0""",1.85,84.09,187.96,Switch,"Nov15,1979",2.21,50.0,2.72,46.0,2.83,50.0,57.0,0.4,18,7,0
139,Reese,Andy,Riptide,"6' 0""",205 lbs.,--,1.83,93.18,,Orthodox,"Mar31,1973",2.87,50.0,3.5,58.0,0.67,20.0,40.0,0.0,7,3,0
140,,Angga,The Hitman,"5' 7""",145 lbs.,"68.0""",1.7,65.91,172.72,Orthodox,"Jan13,1989",3.56,38.0,3.77,53.0,0.0,0.0,33.0,0.0,13,3,0
141,Julius,Anglickas,,"6' 3""",205 lbs.,--,1.91,93.18,,Orthodox,"Jul23,1991",4.62,78.0,1.86,50.0,4.47,50.0,60.0,1.1,5,1,0
142,Collin,Anglin,,"5' 9""",145 lbs.,"71.0""",1.75,65.91,180.34,Orthodox,"Feb20,1993",4.59,48.0,5.54,51.0,2.28,66.0,100.0,0.0,8,3,0
143,Chad,Anheliger,The Monster,"5' 6""",135 lbs.,"64.0""",1.68,61.36,162.56,Orthodox,"Dec01,1986",3.6,45.0,3.11,53.0,0.82,30.0,42.0,0.6,13,7,0
144,Yoji,Anjo,Mr. 200%,"5' 11""",205 lbs.,--,1.8,93.18,,Orthodox,"Mar28,1967",0.0,0.0,3.13,25.0,0.0,0.0,0.0,0.0,0,5,1
145,Magomed,Ankalaev,,"6' 3""",205 lbs.,"75.0""",1.91,93.18,190.5,Orthodox,"Jun02,1992",3.64,53.0,2.25,59.0,1.02,31.0,86.0,0.0,19,1,1
